timestamp,open,high,low,close,volume,turnover,date
1697068800000,0.2407,0.3486,0.2133,0.2621,612523909,176007884.113,2023-10-12
1697155200000,0.2621,0.2747,0.1813,0.2114,1246562298,285331942.8233,2023-10-13
1697241600000,0.2114,0.258,0.2005,0.2318,668995801,150345953.9904,2023-10-14
1697328000000,0.2318,0.2718,0.2225,0.2378,520341489,127871388.3711,2023-10-15
1697414400000,0.2378,0.2653,0.2213,0.2325,277018401,67995761.4553,2023-10-16
1697500800000,0.2325,0.2346,0.1782,0.187,299144204,59808188.6168,2023-10-17
1697587200000,0.187,0.1871,0.1402,0.1594,525125380,82956045.4589,2023-10-18
1697673600000,0.1594,0.1637,0.1357,0.1489,431704232,64147741.4662,2023-10-19
1697760000000,0.1489,0.1584,0.1318,0.15,334561999,49208180.5815,2023-10-20
1697846400000,0.15,0.1579,0.1436,0.1505,222163001,33162456.3034,2023-10-21
1697932800000,0.1505,0.1769,0.1486,0.1642,329966553,53531463.0025,2023-10-22
1698019200000,0.1642,0.1657,0.1432,0.1522,233765278,35370624.5987,2023-10-23
1698105600000,0.1522,0.1574,0.1312,0.1394,184345854,26690958.6433,2023-10-24
1698192000000,0.1394,0.1472,0.1339,0.141,114245158,16019188.5222,2023-10-25
1698278400000,0.141,0.15,0.1375,0.1452,153812241,22088066.3676,2023-10-26
1698364800000,0.1452,0.1594,0.1432,0.1449,147783023,22184659.3992,2023-10-27
1698451200000,0.1449,0.1535,0.1443,0.1495,59062866,8770161.5994,2023-10-28
1698537600000,0.1495,0.1684,0.1435,0.161,123573498,19339775.1886,2023-10-29
1698624000000,0.161,0.2014,0.1598,0.192,432745728,80240804.2668,2023-10-30
1698710400000,0.192,0.2025,0.1602,0.1691,240800997,42857962.4627,2023-10-31
1698796800000,0.1691,0.1712,0.1512,0.1593,138205750,22107980.1554,2023-11-01
1698883200000,0.1593,0.1657,0.1428,0.1537,100450284,15542583.9676,2023-11-02
1698969600000,0.1537,0.1543,0.1468,0.1533,43452988,6529232.0445,2023-11-03
1699056000000,0.1533,0.1644,0.1513,0.1559,48569136,7666510.9759,2023-11-04
1699142400000,0.1559,0.1628,0.1502,0.1577,50338914,7915952.2155,2023-11-05
1699228800000,0.1577,0.1625,0.152,0.1579,42471182,6630383.8041,2023-11-06
1699315200000,0.1579,0.1601,0.1443,0.1499,59384944,9028998.8582,2023-11-07
1699401600000,0.1499,0.1712,0.1476,0.1636,58438213,9338801.4501,2023-11-08
1699488000000,0.1636,0.1745,0.0979,0.1424,175923031,26248912.7231,2023-11-09
