timestamp,open,high,low,close,volume,turnover,date
1676419200000,0.7827,1.0165,0.72,0.9431,131236252,116297169.3841,2023-02-15
1676505600000,0.9431,1.2065,0.8295,0.8915,335921823,347660626.1,2023-02-16
1676592000000,0.8915,1.0394,0.86,0.9816,185381066,175847515.7388,2023-02-17
1676678400000,0.9816,1.2733,0.9518,1.1857,254222589,295425921.7323,2023-02-18
1676678400000,0.9816,1.2733,0.9518,1.1857,254222589,295425921.7323,2023-02-18
1676764800000,1.1857,1.42,1.1581,1.2432,276396935,358409992.3393,2023-02-19
1676851200000,1.2432,1.3644,1.176,1.2456,134317737,167771731.436,2023-02-20
1676937600000,1.2456,1.3102,0.9555,1.0599,175381031,193609708.0345,2023-02-21
1677024000000,1.0599,1.0965,0.898,1.0771,177782513,174229441.2251,2023-02-22
1677110400000,1.0771,1.0799,0.9101,0.9762,98420684,97994281.0298,2023-02-23
1677196800000,0.9762,0.978,0.7392,0.8214,157815989,138135137.6971,2023-02-24
1677283200000,0.8214,0.8662,0.76,0.8385,135556943,110600440.8685,2023-02-25
1677369600000,0.8385,0.8908,0.8195,0.8602,85341111,73233162.8978,2023-02-26
1677456000000,0.8602,0.8875,0.822,0.8505,56116796,47989397.0171,2023-02-27
1677542400000,0.8505,0.8528,0.7518,0.774,67266834,53671074.5799,2023-02-28
1677628800000,0.774,0.9085,0.7659,0.8791,72532460,61087958.2196,2023-03-01
1677715200000,0.8791,0.8852,0.772,0.8182,61556689,49929278.4423,2023-03-02
1677801600000,0.8182,0.8182,0.6555,0.7248,75692333,54838086.6995,2023-03-03
1677888000000,0.7248,0.7415,0.6719,0.6995,39049482,27548918.1589,2023-03-04
1677974400000,0.6995,0.7288,0.6857,0.7046,29862268,21154190.2797,2023-03-05
1678060800000,0.7046,0.7185,0.65,0.6762,31154956,21452127.1748,2023-03-06
1678147200000,0.6762,0.69,0.6122,0.6665,43477022,28378154.4449,2023-03-07
1678233600000,0.6665,0.6784,0.5724,0.5814,47682427,29546766.4895,2023-03-08
1678320000000,0.5814,0.6039,0.511,0.5487,80989732,45637358.6458,2023-03-09
1678406400000,0.5487,0.5502,0.443,0.5251,158898933,79360952.25489998,2023-03-10
1678492800000,0.5251,0.5513,0.4412,0.4802,98992726,47791976.4473,2023-03-11
1678579200000,0.4802,0.5582,0.4391,0.5317,91029628,43616763.928,2023-03-12
1678665600000,0.5317,0.6757,0.485,0.632,187978352,109350375.8642,2023-03-13
1678752000000,0.632,0.7484,0.5951,0.6608,184170284,124820843.1456,2023-03-14
1678838400000,0.6608,0.7024,0.5089,0.5698,134601884,81341965.0707,2023-03-15
1678924800000,0.5698,0.6231,0.5364,0.5981,94046812,54855184.0621,2023-03-16
1679011200000,0.5981,0.6559,0.5843,0.6417,72653195,44778626.7861,2023-03-17
1679097600000,0.6417,0.6744,0.5576,0.5778,68655318,42520260.4072,2023-03-18
1679184000000,0.5778,0.615,0.5651,0.5793,41456252,24434505.5953,2023-03-19
1679270400000,0.5793,0.585,0.5373,0.549,45209280,25298430.5837,2023-03-20
1679356800000,0.549,0.5851,0.5423,0.5646,43935014,24732428.845,2023-03-21
1679443200000,0.5646,0.6515,0.5478,0.5843,95514508,57174091.4859,2023-03-22
1679529600000,0.5843,0.6099,0.5654,0.591,53912469,31698729.3796,2023-03-23
1679616000000,0.591,0.5917,0.4995,0.5249,43035667,23425163.2293,2023-03-24
1679702400000,0.5249,0.546,0.5065,0.5206,24141769,12738620.9724,2023-03-25
1679788800000,0.5206,0.55,0.5158,0.5391,15598385,8334164.567,2023-03-26
1679875200000,0.5391,0.5402,0.4921,0.5064,20970004,10826500.8744,2023-03-27
1679961600000,0.5064,0.5328,0.4828,0.5244,25760007,13057291.0296,2023-03-28
1680048000000,0.5244,0.5453,0.5052,0.5145,23453382,12362760.5452,2023-03-29
1680134400000,0.5145,0.5701,0.4928,0.5575,50285084,26416880.8543,2023-03-30
1680220800000,0.5575,0.678,0.5443,0.6693,130080504,78378161.49879998,2023-03-31
1680307200000,0.6693,0.6734,0.6112,0.6532,69195934,44386184.2887,2023-04-01
1680393600000,0.6532,0.6561,0.5516,0.5756,57203094,34418314.9333,2023-04-02
1680480000000,0.5756,0.6171,0.5621,0.5878,60123138,35637195.695,2023-04-03
1680566400000,0.5878,0.6208,0.5631,0.5856,63689117,37701411.8231,2023-04-04
1680652800000,0.5856,0.6199,0.5752,0.5917,39020876,23289377.1308,2023-04-05
