timestamp,open,high,low,close,volume,turnover,date
1707091200000,0.12799,0.15499,0.12778,0.13952,333521806,47630836.14381,2024-02-05
1707177600000,0.13952,0.144,0.12462,0.1272,74767421,9961456.21959,2024-02-06
1707264000000,0.1272,0.13175,0.11135,0.11856,136883904,16332647.35638,2024-02-07
1707350400000,0.11856,0.12143,0.11205,0.11403,32230214,3748288.37871,2024-02-08
1707436800000,0.11403,0.1329,0.11382,0.13017,43804789,5373783.98407,2024-02-09
1707523200000,0.13017,0.13428,0.1245,0.12615,22735894,2922227.07927,2024-02-10
1707609600000,0.12615,0.12974,0.12205,0.12618,13869764,1746620.62637,2024-02-11
1707696000000,0.12618,0.14,0.12526,0.13503,35866558,4765289.07943,2024-02-12
1707782400000,0.13503,0.14323,0.13058,0.1418,23695162,3244641.61821,2024-02-13
1707868800000,0.1418,0.14778,0.1364,0.14431,14301250,2026190.63052,2024-02-14
1707955200000,0.14431,0.14609,0.13173,0.13406,15955712,2200174.14008,2024-02-15
1708041600000,0.13406,0.13618,0.1224,0.12651,21480589,2749116.46181,2024-02-16
1708128000000,0.12651,0.12696,0.11534,0.12159,14713793,1775253.92259,2024-02-17
1708214400000,0.12159,0.12724,0.11935,0.12519,16856245,2086725.68848,2024-02-18
1708300800000,0.12519,0.12828,0.12202,0.12379,15101647,1888810.15763,2024-02-19
1708387200000,0.12379,0.1241,0.10587,0.11297,21767609,2518612.65578,2024-02-20
1708473600000,0.11297,0.11336,0.10167,0.10875,16868417,1801456.76994,2024-02-21
1708560000000,0.10875,0.11285,0.10577,0.10995,13965994,1531375.26755,2024-02-22
1708646400000,0.10995,0.11158,0.1,0.10597,15090396,1591307.90301,2024-02-23
1708732800000,0.10597,0.11249,0.10225,0.10957,15283824,1666635.60077,2024-02-24
1708819200000,0.10957,0.11052,0.10641,0.10919,8015680,867692.95057,2024-02-25
1708905600000,0.10919,0.10962,0.10352,0.10941,13825590,1474624.20591,2024-02-26
1708992000000,0.10941,0.11363,0.1043,0.10742,15560131,1695622.35507,2024-02-27
1709078400000,0.10742,0.1168,0.08586,0.10665,32801976,3512595.27234,2024-02-28
1709164800000,0.10665,0.12473,0.10586,0.11298,44246207,5052022.66061,2024-02-29
1709251200000,0.11298,0.1191,0.11184,0.11768,15412309,1770510.52519,2024-03-01
1709337600000,0.11768,0.12707,0.116,0.12468,19138570,2319061.47666,2024-03-02
