timestamp,open,high,low,close,volume,turnover,date
1649808000000,0.7612,0.795,0.7513,0.7946,242671,188208.8393,2022-04-13
1649894400000,0.7946,0.808,0.7509,0.767,444593,348931.1897,2022-04-14
1649980800000,0.767,0.7839,0.7518,0.7814,1204595,925898.8466,2022-04-15
1650067200000,0.7814,0.7909,0.7602,0.7737,1293877,1004032.9819,2022-04-16
1650153600000,0.7737,0.778,0.7308,0.734,1396134,1066375.2123,2022-04-17
1650240000000,0.734,0.75,0.6924,0.7481,1516708,1088156.8875,2022-04-18
1650326400000,0.7481,0.8154,0.7481,0.8074,2482192,1966511.8305,2022-04-19
1650412800000,0.8074,0.8074,0.7618,0.7872,1337983,1052508.1654,2022-04-20
1650499200000,0.7872,0.845,0.7555,0.7857,3474820,2827983.5874,2022-04-21
1650585600000,0.7857,0.8288,0.7798,0.7943,1974660,1580156.3244,2022-04-22
1650672000000,0.7943,0.8007,0.7688,0.7806,717474,563419.176,2022-04-23
1650758400000,0.7806,0.8243,0.7753,0.8041,1943695,1546904.7008,2022-04-24
1650844800000,0.8041,0.8044,0.7197,0.7897,3409047,2583197.7955,2022-04-25
1650931200000,0.7897,0.7914,0.7003,0.7155,1864865,1377033.7752,2022-04-26
1651017600000,0.7155,0.741,0.7067,0.7322,1116430,811178.6693,2022-04-27
1651104000000,0.7322,0.7431,0.7053,0.7223,1298313,941456.0299,2022-04-28
1651190400000,0.7223,0.7266,0.6676,0.6785,748050,518798.7491,2022-04-29
1651276800000,0.6785,0.6949,0.5862,0.6087,2709965,1688736.4247,2022-04-30
1651363200000,0.6087,0.6441,0.5859,0.6311,1885570,1161697.11,2022-05-01
1651449600000,0.6311,0.6515,0.6061,0.628,2016002,1271866.282,2022-05-02
1651536000000,0.628,0.6934,0.6191,0.6343,3056698,2002608.0747,2022-05-03
1651622400000,0.6343,0.7123,0.6327,0.7058,4588763,3091835.8124,2022-05-04
1651708800000,0.7058,0.7288,0.617,0.6465,5489005,3610926.1195,2022-05-05
1651795200000,0.6465,0.649,0.6028,0.6247,5911279,3673350.0132,2022-05-06
1651881600000,0.6247,0.6289,0.5911,0.6071,4570524,2799745.351,2022-05-07
1651968000000,0.6071,0.6707,0.5781,0.6489,11405459,7113409.8165,2022-05-08
1652054400000,0.6489,0.6662,0.5588,0.5707,25864534,15377038.8537,2022-05-09
1652140800000,0.5707,0.6258,0.5345,0.5667,25568173,14811118.3142,2022-05-10
1652227200000,0.5667,0.5796,0.3658,0.3924,60131692,27314743.9932,2022-05-11
1652313600000,0.3924,0.4088,0.2883,0.3321,54964601,18290240.6779,2022-05-12
1652400000000,0.3321,0.3968,0.3291,0.3546,11545322,4273169.5921,2022-05-13
1652486400000,0.3546,0.3945,0.34,0.3846,4173562,1536517.7171,2022-05-14
1652572800000,0.3846,0.415,0.3723,0.4143,2637729,1025760.4422,2022-05-15
1652659200000,0.4143,0.4143,0.3652,0.3753,2577999,980710.5845,2022-05-16
1652745600000,0.3753,0.4012,0.3648,0.3964,2046282,787140.8288,2022-05-17
1652832000000,0.3964,0.4091,0.3437,0.3467,2772966,1024356.533,2022-05-18
1652918400000,0.3467,0.3707,0.329,0.3654,2812151,979736.4051,2022-05-19
