timestamp,open,high,low,close,volume,turnover,date
1643500800000,19.83,20.19,18.99,19.58,11236.19,221817.8273,2022-01-30
1643587200000,19.58,19.77,18.55,19.69,17445.76,335845.4088,2022-01-31
1643673600000,19.69,20.46,19.61,19.87,13448.02,268911.525,2022-02-01
1643760000000,19.87,21.52,19.85,20.13,59560.84,1231612.0078,2022-02-02
1643846400000,20.13,20.41,19.26,20.17,29654.8,585873.2421,2022-02-03
1643932800000,20.17,22.5,20.09,22.39,56738.99,1234085.7666,2022-02-04
1644019200000,22.39,22.96,21.78,22.11,27492.97,616036.6384,2022-02-05
1644105600000,22.11,22.6,21.53,22.57,17450.5,385790.1142,2022-02-06
1644192000000,22.57,23.85,22.16,23.71,34810.54,812008.0372,2022-02-07
1644278400000,23.71,24.1,21.87,23.0,36325.78,829954.398,2022-02-08
1644364800000,23.0,24.15,22.36,24.03,34999.14,818004.3809,2022-02-09
1644451200000,24.03,25.51,23.67,23.81,92646.64,2295211.4666,2022-02-10
1644537600000,23.81,25.75,21.77,22.21,57703.47,1371735.7469,2022-02-11
1644624000000,22.21,22.36,21.07,21.49,31768.65,690315.0445,2022-02-12
1644710400000,21.49,22.19,20.88,21.72,22534.78,487593.9951,2022-02-13
1644796800000,21.72,21.79,20.63,21.3,28831.63,609302.3819,2022-02-14
1644883200000,21.3,22.78,21.27,22.67,23120.89,512848.6749,2022-02-15
1644969600000,22.67,26.26,22.41,25.64,295943.38,7319277.2385,2022-02-16
1645056000000,25.64,25.88,23.33,23.65,186372.29,4610645.0785,2022-02-17
1645142400000,23.65,27.1,23.42,26.2,571159.5,14789815.7579,2022-02-18
1645228800000,26.2,27.7,24.48,25.0,406029.91,10526253.3354,2022-02-19
1645315200000,25.0,26.22,22.63,23.07,322788.95,7946679.4594,2022-02-20
1645401600000,23.07,24.17,19.84,20.12,292912.33,6456647.1743,2022-02-21
1645488000000,20.12,20.75,19.24,20.57,218076.77,4364761.6928,2022-02-22
1645574400000,20.57,21.06,19.34,19.46,115253.34,2347295.9221,2022-02-23
1645660800000,19.46,21.44,16.97,21.28,309587.3,5797427.2436,2022-02-24
1645747200000,21.28,21.73,19.82,21.51,254381.75,5299061.44,2022-02-25
1645833600000,21.51,22.14,20.6,20.94,75967.2,1610294.922,2022-02-26
1645920000000,20.94,21.15,19.42,19.89,83400.23,1691589.7952,2022-02-27
1646006400000,19.89,23.15,19.5,23.14,74546.84,1540408.3723,2022-02-28
1646092800000,23.14,25.2,23.02,24.2,140169.66,3391942.7284,2022-03-01
1646179200000,24.2,24.61,23.28,23.93,61930.53,1486192.8267,2022-03-02
1646265600000,23.93,25.39,22.93,23.59,70577.26,1701509.435,2022-03-03
1646352000000,23.59,23.59,21.07,21.51,49893.96,1118184.9574,2022-03-04
1646438400000,21.51,21.93,20.67,21.73,24243.14,519456.2871,2022-03-05
1646524800000,21.73,21.86,20.39,20.46,28342.15,594377.6734,2022-03-06
1646611200000,20.46,21.03,19.5,20.32,22553.29,455704.3947,2022-03-07
1646697600000,20.32,20.78,20.09,20.48,21578.22,441240.4122,2022-03-08
1646784000000,20.48,21.78,20.48,21.25,24750.98,523568.1266,2022-03-09
1646870400000,21.25,21.43,19.7,20.67,35693.07,725961.5277,2022-03-10
1646956800000,20.67,21.19,19.93,20.01,34256.98,703600.3892,2022-03-11
1647043200000,20.01,20.51,19.95,19.99,11632.81,235138.1041,2022-03-12
1647129600000,19.99,20.35,18.9,19.03,24208.38,475268.8042,2022-03-13
1647216000000,19.03,19.59,18.76,19.55,16515.1,316540.2867,2022-03-14
1647302400000,19.55,19.68,18.76,19.47,14950.59,287061.8487,2022-03-15
1647388800000,19.47,20.68,19.28,20.63,22349.26,445125.7084,2022-03-16
1647475200000,20.63,21.12,20.47,20.69,21344.41,443558.1215,2022-03-17
1647561600000,20.69,21.11,20.03,21.08,21688.78,443569.6503,2022-03-18
1647648000000,21.08,22.2,21.04,22.06,38496.68,826620.406,2022-03-19
1647734400000,22.06,23.77,21.87,22.7,121435.47,2774865.0125,2022-03-20
1647820800000,22.7,23.17,21.84,22.59,69005.96,1550737.2946,2022-03-21
1647907200000,22.59,24.03,22.51,23.87,85609.67,2013979.1438,2022-03-22
1647993600000,23.87,25.01,23.87,24.35,128042.39,3138157.5505,2022-03-23
1648080000000,24.35,24.5,23.53,24.4,64876.91,1556426.7844,2022-03-24
1648166400000,24.4,25.32,23.51,24.16,87765.77,2153122.0376,2022-03-25
1648252800000,24.16,24.76,24.01,24.75,44888.88,1093667.0791,2022-03-26
1648339200000,24.75,26.38,23.93,26.08,103451.78,2611282.3926,2022-03-27
1648425600000,26.08,27.01,25.07,25.35,90825.66,2392945.518,2022-03-28
1648512000000,25.35,29.34,25.32,26.89,227033.74,6223879.9704,2022-03-29
1648598400000,26.89,29.44,25.86,28.39,164599.46,4630939.2757,2022-03-30
1648684800000,28.39,29.67,26.53,26.92,258307.58,7226144.1854,2022-03-31
1648771200000,26.92,28.22,25.54,28.06,132018.13,3525011.5274,2022-04-01
1648857600000,28.06,28.83,27.38,27.56,78474.71,2203907.2502,2022-04-02
1648944000000,27.56,28.61,26.81,28.02,76174.42,2109658.0936,2022-04-03
1649030400000,28.02,28.04,26.08,27.14,60936.19,1641190.8962,2022-04-04
1649116800000,27.14,27.43,25.68,25.74,51513.54,1370281.7344,2022-04-05
1649203200000,25.74,25.74,22.35,22.42,185273.62,4411378.4758,2022-04-06
1649289600000,22.42,23.42,22.17,23.25,62895.46,1433622.2183,2022-04-07
1649376000000,23.25,23.5,21.6,21.85,43295.43,982657.5088,2022-04-08
1649462400000,21.85,22.57,21.8,22.54,21277.4,471770.2272,2022-04-09
1649548800000,22.54,22.82,21.51,21.53,27511.15,612373.887,2022-04-10
1649635200000,21.53,21.77,19.24,19.69,66607.38,1354331.6304,2022-04-11
1649721600000,19.69,20.72,19.53,20.37,46119.37,930540.2932,2022-04-12
1649808000000,20.37,21.34,20.11,21.26,35689.55,740437.5864,2022-04-13
1649894400000,21.26,21.52,20.22,20.59,29976.67,625431.1448,2022-04-14
1649980800000,20.59,21.31,20.46,21.08,38419.01,806629.8371,2022-04-15
1650067200000,21.08,21.78,20.98,21.57,45295.97,970997.1989,2022-04-16
1650153600000,21.57,22.04,20.36,20.47,49802.4,1063739.2422,2022-04-17
1650240000000,20.47,21.42,19.76,21.29,69926.33,1423143.5704,2022-04-18
1650326400000,21.29,22.12,21.06,22.1,33287.64,717914.8385,2022-04-19
1650412800000,22.1,22.18,21.15,21.5,45179.54,983239.2823,2022-04-20
1650499200000,21.5,22.66,20.34,20.81,60764.85,1311781.2607,2022-04-21
1650585600000,20.81,21.36,20.7,21.09,37472.35,789075.8993,2022-04-22
1650672000000,21.09,21.43,20.67,20.92,23974.88,504313.9276,2022-04-23
1650758400000,20.92,21.07,20.15,20.19,22762.96,466562.3616,2022-04-24
1650844800000,20.19,20.25,18.73,20.03,57579.04,1118248.8116,2022-04-25
1650931200000,20.03,20.43,18.24,18.55,56996.03,1104252.102,2022-04-26
1651017600000,18.55,19.17,18.37,19.02,38156.15,717697.7231,2022-04-27
1651104000000,19.02,19.33,18.65,18.83,18097.55,343324.4525,2022-04-28
1651190400000,18.83,19.04,17.62,17.92,52591.31,964705.5783,2022-04-29
1651276800000,17.92,18.58,16.44,16.71,113517.67,2004751.0069,2022-04-30
1651363200000,16.71,17.8,16.38,17.64,67492.49,1150459.0497,2022-05-01
1651449600000,17.64,18.0,16.89,17.56,43299.06,754807.5871,2022-05-02
1651536000000,17.56,18.36,17.13,17.56,41479.67,738623.7055,2022-05-03
1651622400000,17.56,19.56,17.51,19.35,68648.68,1278065.7298,2022-05-04
1651708800000,19.35,19.59,16.62,17.2,111560.85,2016769.6485,2022-05-05
1651795200000,17.2,17.26,16.5,16.91,40522.16,682134.6123,2022-05-06
1651881600000,16.91,17.03,15.92,16.3,53862.15,893538.7827,2022-05-07
1651968000000,16.3,16.43,15.69,15.91,82363.09,1322433.0039,2022-05-08
1652054400000,15.91,16.34,13.2,13.29,186845.94,2672906.4663,2022-05-09
1652140800000,13.29,15.0,12.89,13.82,167544.21,2339397.0484,2022-05-10
1652227200000,13.82,14.09,9.95,10.53,341948.01,4116911.2375,2022-05-11
1652313600000,10.53,11.1,8.41,9.77,393675.52,3776578.1379,2022-05-12
1652400000000,9.77,11.27,9.65,10.22,93381.81,1001337.5916,2022-05-13
1652486400000,10.22,10.77,9.59,10.66,85312.75,866101.6768,2022-05-14
1652572800000,10.66,11.04,10.23,11.01,68887.52,727995.6698,2022-05-15
1652659200000,11.01,11.01,9.87,10.21,80202.34,828608.1809,2022-05-16
1652745600000,10.21,11.19,10.21,10.98,68714.03,737019.3874,2022-05-17
1652832000000,10.98,11.14,9.81,9.87,54146.26,561149.6373,2022-05-18
1652918400000,9.87,10.67,9.52,10.5,56689.25,570447.8024,2022-05-19
1653004800000,10.5,10.8,9.87,10.11,54158.26,559065.4041,2022-05-20
1653091200000,10.11,10.61,9.95,10.36,64720.34,663821.8468,2022-05-21
1653177600000,10.36,10.93,10.21,10.84,42158.57,444880.6208,2022-05-22
1653264000000,10.84,12.6,10.82,11.37,593752.63,7172099.3076,2022-05-23
1653350400000,11.37,11.4,10.41,11.26,137422.94,1510694.1598,2022-05-24
1653436800000,11.26,11.99,11.24,11.65,190622.39,2210745.5418,2022-05-25
1653523200000,11.65,12.22,10.1,10.68,168717.25,1874338.1378,2022-05-26
1653609600000,10.68,11.33,10.17,10.24,181695.17,1973284.4,2022-05-27
1653696000000,10.24,10.65,10.1,10.47,84280.42,878101.0981,2022-05-28
1653782400000,10.47,10.62,10.13,10.62,52089.37,541578.0996,2022-05-29
1653868800000,10.62,11.82,10.55,11.78,81970.51,925973.9985,2022-05-30
1653955200000,11.78,11.9,11.2,11.56,52392.86,604460.2614,2022-05-31
1654041600000,11.56,12.55,10.85,11.13,227101.63,2657877.7289,2022-06-01
1654128000000,11.13,11.51,10.85,11.42,82677.33,928693.4197,2022-06-02
1654214400000,11.42,11.76,10.89,11.15,65632.15,742089.1541,2022-06-03
1654300800000,11.15,11.33,10.92,11.29,25709.95,286188.9298,2022-06-04
1654387200000,11.29,11.97,11.05,11.44,182151.65,2111597.2498,2022-06-05
1654473600000,11.44,13.38,11.44,12.16,372347.31,4658022.5631,2022-06-06
1654560000000,12.16,12.16,11.2,11.88,109186.87,1265261.3552,2022-06-07
1654646400000,11.88,12.85,11.46,12.02,163615.04,2014043.6098,2022-06-08
1654732800000,12.02,12.39,11.75,12.04,75209.48,908662.6048,2022-06-09
1654819200000,12.04,12.05,10.97,11.41,108311.58,1244484.9261,2022-06-10
1654905600000,11.41,11.71,10.47,10.92,156808.79,1747228.2654,2022-06-11
1654992000000,10.92,13.28,10.03,11.63,904207.08,10762874.8351,2022-06-12
1655078400000,11.63,12.24,9.38,9.83,1016069.47,10745263.0822,2022-06-13
1655164800000,9.83,9.97,8.95,9.72,285998.55,2743119.1617,2022-06-14
1655251200000,9.72,10.01,8.43,9.99,323357.64,2939106.4154,2022-06-15
1655337600000,9.99,10.18,8.67,8.83,183069.76,1691936.1208,2022-06-16
1655424000000,8.83,9.31,8.76,9.05,91457.25,828716.7314,2022-06-17
1655510400000,9.05,9.21,7.92,8.51,305291.33,2595553.7944,2022-06-18
1655596800000,8.51,9.17,8.14,9.08,194029.74,1669552.4812,2022-06-19
1655683200000,9.08,9.43,8.68,9.14,77587.32,705454.344,2022-06-20
1655769600000,9.14,9.69,9.01,9.17,141957.28,1326897.5552,2022-06-21
1655856000000,9.17,9.25,8.77,8.87,128012.89,1150617.9638,2022-06-22
1655942400000,8.87,9.38,8.84,9.29,84293.6,771703.9004,2022-06-23
1656028800000,9.29,9.81,9.29,9.64,60681.11,578484.6169,2022-06-24
1656115200000,9.64,9.91,9.25,9.74,66741.3,641177.7022,2022-06-25
1656201600000,9.74,10.19,9.43,9.49,138031.27,1356104.0836,2022-06-26
1656288000000,9.49,9.91,9.36,9.49,78662.01,755620.9138,2022-06-27
1656374400000,9.49,9.65,8.85,8.92,62634.17,581193.1084,2022-06-28
1656460800000,8.92,9.02,8.46,8.62,71390.31,622441.737,2022-06-29
1656547200000,8.62,8.65,7.94,8.45,71783.03,591182.0014,2022-06-30
1656633600000,8.45,8.73,8.07,8.21,75734.18,629330.9831,2022-07-01
1656720000000,8.21,8.35,8.02,8.23,61322.51,501384.1754,2022-07-02
1656806400000,8.23,8.38,8.03,8.28,51378.18,421253.0882,2022-07-03
1656892800000,8.28,8.62,8.04,8.58,89696.25,748056.9249,2022-07-04
1656979200000,8.58,8.64,8.08,8.38,88918.62,742971.2784,2022-07-05
1657065600000,8.38,8.58,8.2,8.51,31223.45,262615.5569,2022-07-06
1657152000000,8.51,9.38,8.46,9.27,82256.08,718880.8728,2022-07-07
1657238400000,9.27,9.59,9.01,9.12,92016.96,854430.6447,2022-07-08
1657324800000,9.12,9.6,9.12,9.37,74845.9,703394.7689,2022-07-09
1657411200000,9.37,9.37,8.9,9.25,39625.6,361467.5528,2022-07-10
1657497600000,9.25,9.26,8.29,8.34,48015.22,422673.1405,2022-07-11
1657584000000,8.34,8.41,8.03,8.05,37643.46,310143.8179,2022-07-12
1657670400000,8.05,8.56,7.79,8.55,81022.09,658944.2721,2022-07-13
1657756800000,8.55,8.84,8.13,8.69,51738.44,434831.2763,2022-07-14
1657843200000,8.69,9.08,8.66,8.82,89443.62,790310.6399,2022-07-15
1657929600000,8.82,9.32,8.66,9.26,71466.23,649017.4394,2022-07-16
1658016000000,9.26,9.63,9.12,9.32,84465.58,789901.9732,2022-07-17
1658102400000,9.32,10.51,9.29,10.39,115603.02,1146474.4103,2022-07-18
1658188800000,10.39,10.67,9.97,10.5,102319.97,1061702.7112,2022-07-19
1658275200000,10.5,10.71,9.67,9.74,66192.22,682227.487,2022-07-20
1658361600000,9.74,9.92,9.3,9.87,57516.21,554347.5722,2022-07-21
1658448000000,9.87,11.35,9.8,10.52,216567.75,2328038.7675,2022-07-22
1658534400000,10.52,11.01,9.72,10.04,92842.35,953798.6751,2022-07-23
1658620800000,10.04,10.6,9.92,10.25,108152.41,1111686.3346,2022-07-24
1658707200000,10.25,10.42,9.2,9.21,101755.2,986683.9647,2022-07-25
1658793600000,9.21,9.29,8.81,9.27,46815.29,424780.772,2022-07-26
1658880000000,9.27,10.05,9.08,10.04,104941.27,997619.2281,2022-07-27
1658966400000,10.04,11.29,10.04,11.01,237577.77,2556858.9595,2022-07-28
1659052800000,11.01,12.05,11.01,11.29,215099.18,2451449.0267,2022-07-29
1659139200000,11.29,11.97,11.07,11.35,220532.2,2534515.8505,2022-07-30
1659225600000,11.35,11.59,10.87,10.97,134894.72,1524312.4611,2022-07-31
1659312000000,10.97,11.63,10.92,11.17,100315.41,1130332.5715,2022-08-01
1659398400000,11.17,11.31,10.49,10.94,103838.18,1123543.3901,2022-08-02
1659484800000,10.94,11.19,10.6,10.74,65588.79,717431.3825,2022-08-03
1659571200000,10.74,11.13,10.56,10.8,65404.9,706848.9465,2022-08-04
1659657600000,10.8,11.94,10.78,11.81,119081.08,1365145.1882,2022-08-05
1659744000000,11.81,11.81,11.34,11.42,39175.07,451696.363,2022-08-06
1659830400000,11.42,11.63,11.21,11.46,40671.36,465239.1602,2022-08-07
1659916800000,11.46,12.02,11.36,11.67,59787.1,702146.0178,2022-08-08
1660003200000,11.67,11.75,10.89,11.0,75685.8,853422.4642,2022-08-09
1660089600000,11.0,11.69,10.74,11.69,83714.68,939247.0056,2022-08-10
1660176000000,11.69,12.56,11.67,11.71,82722.82,995642.1771,2022-08-11
1660262400000,11.71,12.07,11.54,12.02,36886.53,435427.8979,2022-08-12
1660348800000,12.02,12.22,11.86,12.0,45165.97,544252.1595,2022-08-13
1660435200000,12.0,12.25,11.4,11.51,50846.79,600450.2625,2022-08-14
1660521600000,11.51,11.8,10.98,11.27,53126.37,603371.3112,2022-08-15
1660608000000,11.27,11.34,11.02,11.13,45775.36,511927.4211,2022-08-16
