timestamp,open,high,low,close,volume,turnover,date
1711929600000,4.213,4.961,3.722,4.01,530054.6,2122576.9429,2024-04-01
1712016000000,4.01,4.024,3.578,3.778,541913.3,2062118.2119,2024-04-02
1712102400000,3.778,3.9,3.58,3.839,663689.8,2490221.3771,2024-04-03
1712188800000,3.839,4.039,3.648,3.672,770750.2,2958380.508,2024-04-04
1712275200000,3.672,3.7,3.322,3.526,544622.1,1918271.7179,2024-04-05
1712361600000,3.526,3.75,3.518,3.691,246493.5,902741.3901,2024-04-06
1712448000000,3.691,3.766,3.514,3.614,290540.2,1061057.3732,2024-04-07
1712534400000,3.614,3.675,3.369,3.479,827243.1,2883330.3998,2024-04-08
1712620800000,3.479,3.533,3.248,3.277,468598.7,1589466.4202,2024-04-09
1712707200000,3.277,3.309,3.0,3.117,543978.2,1703776.7515,2024-04-10
1712793600000,3.117,3.233,2.838,3.083,1554524.0,4729916.2875,2024-04-11
1712880000000,3.083,3.34,2.023,2.715,2383424.0,7221642.3699,2024-04-12
1712966400000,2.715,2.717,2.075,2.437,1346999.9,3464484.6351,2024-04-13
1713052800000,2.437,2.575,2.242,2.494,536527.0,1290323.4358,2024-04-14
1713139200000,2.494,2.676,2.284,2.356,635573.6,1582100.4733,2024-04-15
1713225600000,2.356,2.469,2.203,2.411,467301.1,1092071.094,2024-04-16
1713312000000,2.411,2.463,2.191,2.214,654913.4,1524319.0488,2024-04-17
1713398400000,2.214,2.563,2.057,2.362,2765653.6,6332611.2052,2024-04-18
1713484800000,2.362,2.485,2.167,2.395,477795.0,1133284.041,2024-04-19
1713571200000,2.395,2.548,2.336,2.503,275786.5,668453.5131,2024-04-20
1713657600000,2.503,2.826,2.464,2.751,1429988.0,3842777.9992,2024-04-21
1713744000000,2.751,3.588,2.697,3.366,6179863.9,19816286.1719,2024-04-22
1713830400000,3.366,3.61,3.185,3.259,1888784.3,6449708.2655,2024-04-23
1713916800000,3.259,3.361,2.811,2.863,956996.2,2911521.9635,2024-04-24
1714003200000,2.863,3.006,2.762,2.781,565373.3,1622843.5973,2024-04-25
1714089600000,2.781,2.807,2.637,2.663,405340.8,1100913.4488,2024-04-26
1714176000000,2.663,2.844,2.492,2.761,385131.7,1021437.9653,2024-04-27
1714262400000,2.761,2.89,2.722,2.748,347019.8,974483.3028,2024-04-28
1714348800000,2.748,2.782,2.527,2.691,365162.9,962336.0152,2024-04-29
1714435200000,2.691,2.745,2.34,2.424,305982.3,773120.7496,2024-04-30
1714521600000,2.424,2.467,2.212,2.434,229476.9,538638.9201,2024-05-01
1714608000000,2.434,2.574,2.302,2.465,346909.0,842190.6024,2024-05-02
1714694400000,2.465,2.522,2.324,2.447,514249.7,1242119.8291,2024-05-03
1714780800000,2.447,2.566,2.413,2.472,247990.1,615265.1821,2024-05-04
1714867200000,2.472,2.511,2.404,2.422,196616.3,483750.0512,2024-05-05
1714953600000,2.422,2.59,2.359,2.363,173072.5,423565.6386,2024-05-06
1715040000000,2.363,2.443,2.276,2.278,163512.5,385529.9322,2024-05-07
1715126400000,2.278,2.322,2.238,2.27,109582.6,249222.4437,2024-05-08
1715212800000,2.27,2.369,2.224,2.352,117474.8,269345.3768,2024-05-09
1715299200000,2.352,2.359,2.248,2.258,69833.6,161076.4156,2024-05-10
1715385600000,2.258,2.344,2.248,2.301,92283.5,212548.9149,2024-05-11
1715472000000,2.301,2.338,2.253,2.259,37260.4,85265.8062,2024-05-12
1715558400000,2.259,2.338,2.176,2.273,80976.3,182132.3053,2024-05-13
1715644800000,2.273,2.303,2.158,2.193,73625.7,162830.0638,2024-05-14
1715731200000,2.193,2.292,2.116,2.272,151421.9,335349.1127,2024-05-15
1715817600000,2.272,2.47,2.032,2.256,2809944.3,6319712.4056,2024-05-16
1715904000000,2.256,2.402,2.213,2.339,232570.7,535814.1087,2024-05-17
1715990400000,2.339,2.469,2.335,2.366,294016.0,709503.5245,2024-05-18
1716076800000,2.366,2.412,2.156,2.262,482094.6,1075079.3346,2024-05-19
1716163200000,2.262,2.782,2.201,2.768,1438260.7,3726675.0825,2024-05-20
1716249600000,2.768,2.773,2.543,2.609,277001.7,732224.9403,2024-05-21
1716336000000,2.609,2.657,2.522,2.526,103534.8,267713.3825,2024-05-22
1716422400000,2.526,2.636,2.405,2.534,201960.7,509290.5056,2024-05-23
1716508800000,2.534,2.537,2.266,2.443,503198.8,1198060.83,2024-05-24
1716595200000,2.443,2.537,2.413,2.501,91288.5,226702.3028,2024-05-25
1716681600000,2.501,2.524,2.366,2.398,114395.6,278100.1353,2024-05-26
1716768000000,2.398,2.529,2.396,2.489,268083.4,666312.4424,2024-05-27
1716854400000,2.489,2.502,2.316,2.467,777504.7,1886188.1299,2024-05-28
1716940800000,2.467,2.812,2.42,2.632,956528.5,2503015.8681,2024-05-29
1717027200000,2.632,2.755,2.496,2.565,742013.7,1936191.6178,2024-05-30
1717113600000,2.565,2.661,2.522,2.562,156404.5,405236.8509,2024-05-31
1717200000000,2.562,2.593,2.482,2.531,170592.1,433028.5016,2024-06-01
1717286400000,2.531,2.553,2.451,2.48,81873.9,204574.7545,2024-06-02
1717372800000,2.48,2.576,2.455,2.494,131137.1,331804.5227,2024-06-03
1717459200000,2.494,2.566,2.426,2.53,153543.2,381006.4523,2024-06-04
1717545600000,2.53,2.606,2.481,2.514,127617.1,325176.5,2024-06-05
1717632000000,2.514,2.555,2.405,2.427,137916.0,343688.0545,2024-06-06
1717718400000,2.427,2.473,2.25,2.284,451262.6,1066889.4749,2024-06-07
1717804800000,2.284,2.318,2.139,2.215,276151.9,612037.3777,2024-06-08
1717891200000,2.215,2.256,2.172,2.235,127862.3,283668.82,2024-06-09
1717977600000,2.235,2.243,2.147,2.169,147438.9,324574.8805,2024-06-10
1718064000000,2.169,2.169,1.914,2.02,319574.1,650764.4506,2024-06-11
1718150400000,2.02,2.137,1.987,2.071,281575.8,579624.2172,2024-06-12
1718236800000,2.071,2.071,1.905,1.952,193293.7,380917.746,2024-06-13
1718323200000,1.952,1.978,1.917,1.949,131101.5,255262.5859,2024-06-14
1718409600000,1.949,1.985,1.934,1.944,78166.6,152856.164,2024-06-15
1718496000000,1.944,1.947,1.92,1.931,52132.6,100722.504,2024-06-16
1718582400000,1.931,1.937,1.803,1.809,199634.0,376739.3718,2024-06-17
1718668800000,1.809,1.81,1.569,1.771,282391.3,474271.0643,2024-06-18
1718755200000,1.771,1.906,1.756,1.772,200406.4,367477.1414,2024-06-19
1718841600000,1.772,1.86,1.758,1.785,139598.1,252508.4353,2024-06-20
1718928000000,1.785,1.833,1.767,1.812,127731.9,230316.3773,2024-06-21
1719014400000,1.812,1.897,1.794,1.867,48196.6,89280.6248,2024-06-22
1719100800000,1.867,1.882,1.804,1.805,27937.3,51753.0911,2024-06-23
1719187200000,1.805,1.82,1.7,1.816,203946.9,360720.9067,2024-06-24
1719273600000,1.816,1.875,1.799,1.838,52338.5,96289.986,2024-06-25
1719360000000,1.838,1.865,1.811,1.834,88441.0,162065.196,2024-06-26
1719446400000,1.834,1.92,1.826,1.885,124022.7,232896.2615,2024-06-27
1719532800000,1.885,1.91,1.843,1.856,65700.8,123219.1632,2024-06-28
1719619200000,1.856,1.883,1.848,1.855,27124.8,50553.8078,2024-06-29
1719705600000,1.855,1.897,1.84,1.882,40378.8,75595.7636,2024-06-30
1719792000000,1.882,1.902,1.853,1.869,29963.7,56333.1724,2024-07-01
1719878400000,1.869,1.877,1.833,1.877,26467.8,49118.7089,2024-07-02
1719964800000,1.877,1.877,1.657,1.722,331293.4,568592.2519,2024-07-03
1720051200000,1.722,1.733,1.505,1.543,220970.4,351442.2242,2024-07-04
1720137600000,1.543,1.668,1.427,1.626,294729.2,453673.8354,2024-07-05
1720224000000,1.626,1.684,1.622,1.661,116073.4,192280.6829,2024-07-06
1720310400000,1.661,1.669,1.531,1.54,61676.6,100827.1544,2024-07-07
1720396800000,1.54,1.599,1.492,1.519,262424.7,404639.1623,2024-07-08
1720483200000,1.519,1.625,1.345,1.556,1777706.0,2630925.6029,2024-07-09
1720569600000,1.556,1.565,1.432,1.455,943323.0,1389268.5229,2024-07-10
1720656000000,1.455,1.489,1.379,1.399,341821.4,490179.6494,2024-07-11
1720742400000,1.399,1.446,1.326,1.423,396722.7,545119.4332,2024-07-12
1720828800000,1.423,1.462,1.412,1.455,214118.8,308280.7896,2024-07-13
1720915200000,1.455,1.513,1.454,1.498,210753.2,312416.2809,2024-07-14
1721001600000,1.498,1.606,1.49,1.602,237159.2,363995.2959,2024-07-15
1721088000000,1.602,1.622,1.527,1.583,326890.2,514142.3201,2024-07-16
1721174400000,1.583,1.66,1.555,1.555,221552.1,355733.925,2024-07-17
1721260800000,1.555,1.585,1.509,1.513,121062.7,188306.1156,2024-07-18
1721347200000,1.513,1.658,1.492,1.655,154540.7,240950.3747,2024-07-19
1721433600000,1.655,2.55,1.655,2.49,21470071.4,48210475.7086,2024-07-20
1721520000000,2.49,2.556,2.188,2.422,9121004.7,21626025.6369,2024-07-21
1721606400000,2.422,3.022,2.302,2.566,5340296.2,14094793.7238,2024-07-22
1721692800000,2.566,2.998,2.533,2.624,6000265.0,16727609.8868,2024-07-23
1721779200000,2.624,2.92,2.534,2.635,2170175.6,5907117.2344,2024-07-24
1721865600000,2.635,2.78,2.463,2.528,2290496.7,6036250.9695,2024-07-25
1721952000000,2.528,2.83,2.513,2.756,1274769.7,3379491.2116,2024-07-26
1722038400000,2.756,3.113,2.743,2.979,3173158.5,9442705.5844,2024-07-27
1722124800000,2.979,3.109,2.84,2.995,1387669.2,4160325.0697,2024-07-28
1722211200000,2.995,3.195,2.851,2.879,1446190.0,4370825.618,2024-07-29
1722297600000,2.879,2.988,2.7,2.757,728635.7,2059136.2187,2024-07-30
1722384000000,2.757,2.855,2.545,2.59,1236933.4,3366459.1103,2024-07-31
1722470400000,2.59,2.632,2.392,2.51,835934.5,2119710.5768,2024-08-01
1722556800000,2.51,2.538,2.09,2.092,915819.0,2115390.123,2024-08-02
1722643200000,2.092,2.304,1.975,2.037,1063608.2,2263409.0785,2024-08-03
1722729600000,2.037,2.087,1.805,1.948,470937.9,935103.7769,2024-08-04
1722816000000,1.948,1.953,1.463,1.856,1598330.1,2716114.4185,2024-08-05
1722902400000,1.856,2.675,1.856,2.444,9398230.4,23157159.4472,2024-08-06
