timestamp,open,high,low,close,volume,turnover,date
1728259200000,2.756,2.89,2.686,2.695,681672,1885586.682,2024-10-07
1728345600000,2.695,2.709,2.453,2.61,427548,1119817.012,2024-10-08
1728432000000,2.61,2.644,2.54,2.582,279892,725316.251,2024-10-09
1728518400000,2.582,2.63,2.502,2.573,182407,467289.075,2024-10-10
1728604800000,2.573,2.676,2.542,2.633,236577,618685.059,2024-10-11
1728691200000,2.633,2.729,2.631,2.713,154594,413502.91,2024-10-12
1728777600000,2.713,2.719,2.571,2.716,197248,522962.725,2024-10-13
1728864000000,2.716,2.806,2.68,2.773,193670,532823.729,2024-10-14
1728950400000,2.773,2.78,2.628,2.671,207348,562648.515,2024-10-15
1729036800000,2.671,2.676,2.58,2.589,178397,467931.369,2024-10-16
1729123200000,2.589,2.601,2.491,2.515,137955,351476.816,2024-10-17
1729209600000,2.515,2.616,2.508,2.587,82615,211785.886,2024-10-18
1729296000000,2.587,2.689,2.561,2.616,118789,310655.202,2024-10-19
1729382400000,2.616,2.824,2.545,2.769,241542,656779.774,2024-10-20
1729468800000,2.769,2.83,2.64,2.661,129410,352910.111,2024-10-21
1729555200000,2.661,2.698,2.588,2.64,128412,338620.077,2024-10-22
1729641600000,2.64,2.654,2.488,2.567,126678,323549.577,2024-10-23
1729728000000,2.567,2.629,2.531,2.565,184161,475295.656,2024-10-24
1729814400000,2.565,2.612,2.276,2.343,237099,584713.244,2024-10-25
1729900800000,2.343,2.418,2.311,2.412,77702,184912.282,2024-10-26
1729987200000,2.412,2.443,2.378,2.4,44742,107496.937,2024-10-27
1730073600000,2.4,2.405,2.28,2.368,103980,243771.399,2024-10-28
1730160000000,2.368,2.519,2.355,2.498,80907,198203.779,2024-10-29
1730246400000,2.498,2.517,2.384,2.405,71188,174694.381,2024-10-30
1730332800000,2.405,2.405,2.297,2.31,68231,160491.617,2024-10-31
1730419200000,2.31,2.637,2.246,2.419,1768340,4397961.053,2024-11-01
1730505600000,2.419,2.592,2.266,2.356,1221730,2944852.222,2024-11-02
1730592000000,2.356,2.404,2.199,2.28,815902,1878508.567,2024-11-03
1730678400000,2.28,2.394,2.117,2.161,608684,1388924.997,2024-11-04
1730764800000,2.161,2.301,2.154,2.201,342005,761516.822,2024-11-05
1730851200000,2.201,2.473,2.201,2.467,473418,1121559.422,2024-11-06
1730937600000,2.467,2.573,2.393,2.52,243055,601828.737,2024-11-07
1731024000000,2.52,2.635,2.486,2.56,364014,932897.767,2024-11-08
1731110400000,2.56,2.667,2.526,2.64,183826,477746.614,2024-11-09
1731196800000,2.64,3.057,2.615,3.031,405879,1146368.167,2024-11-10
1731283200000,3.031,3.069,2.831,3.015,314507,922543.0,2024-11-11
1731369600000,3.015,3.191,2.783,2.913,429333,1265622.61,2024-11-12
1731456000000,2.913,2.94,2.609,2.737,422829,1165667.63,2024-11-13
1731542400000,2.737,2.888,2.605,2.644,235885,649334.009,2024-11-14
1731628800000,2.644,2.791,2.598,2.761,168593,450871.979,2024-11-15
1731715200000,2.761,2.968,2.761,2.933,206497,593936.866,2024-11-16
1731801600000,2.933,2.964,2.697,2.739,202364,575994.134,2024-11-17
1731888000000,2.739,2.99,2.718,2.916,211372,604202.25,2024-11-18
1731974400000,2.916,2.95,2.693,2.775,159651,448765.477,2024-11-19
1732060800000,2.775,2.775,2.515,2.603,236993,628894.571,2024-11-20
1732147200000,2.603,2.853,2.49,2.843,197892,530008.724,2024-11-21
1732233600000,2.843,2.892,2.69,2.892,127337,357635.831,2024-11-22
1732320000000,2.892,3.269,2.873,3.203,397393,1228085.873,2024-11-23
1732406400000,3.203,4.585,3.186,3.859,2572576,9976679.628,2024-11-24
1732492800000,3.859,4.293,3.52,3.651,1239719,4819812.483,2024-11-25
1732579200000,3.651,3.806,3.357,3.549,406411,1441201.055,2024-11-26
1732665600000,3.549,3.79,3.466,3.712,347588,1271036.005,2024-11-27
1732752000000,3.712,3.771,3.491,3.714,397952,1444762.241,2024-11-28
1732838400000,3.714,4.165,3.688,3.963,589907,2324491.488,2024-11-29
1732924800000,3.963,4.14,3.85,4.016,320993,1275890.7,2024-11-30
1733011200000,4.016,4.325,3.805,4.166,492447,2027019.783,2024-12-01
1733097600000,4.166,4.263,3.758,4.066,582556,2316865.321,2024-12-02
1733184000000,4.066,4.235,3.768,4.161,651398,2639484.933,2024-12-03
1733270400000,4.161,4.608,4.081,4.321,688823,3004274.634,2024-12-04
1733356800000,4.321,4.398,3.985,4.184,648889,2726022.527,2024-12-05
1733443200000,4.184,4.364,4.084,4.355,376895,1600038.565,2024-12-06
1733529600000,4.355,4.45,4.213,4.372,368247,1586602.206,2024-12-07
1733616000000,4.372,4.978,4.105,4.659,1685726,7682423.357,2024-12-08
1733702400000,4.659,4.668,3.384,3.927,1923064,7777825.454,2024-12-09
1733788800000,3.927,4.013,3.444,3.835,986304,3671053.011,2024-12-10
1733875200000,3.835,4.154,3.628,4.031,741571,2928538.734,2024-12-11
1733961600000,4.031,4.207,3.817,4.004,587877,2373574.8,2024-12-12
1734048000000,4.004,4.08,3.863,3.964,408118,1622363.064,2024-12-13
1734134400000,3.964,4.026,3.78,3.931,375890,1471292.672,2024-12-14
1734220800000,3.931,4.039,3.818,4.026,269432,1059836.813,2024-12-15
1734307200000,4.026,4.052,3.664,3.734,409495,1567591.429,2024-12-16
1734393600000,3.734,3.763,3.53,3.566,455780,1666275.566,2024-12-17
1734480000000,3.566,3.598,3.289,3.336,523190,1800971.879,2024-12-18
1734566400000,3.336,3.45,2.993,3.103,675920,2145623.83,2024-12-19
1734652800000,3.103,3.246,2.691,3.239,733927,2142727.539,2024-12-20
