timestamp,open,high,low,close,volume,turnover,date
1728518400000,1.58,1.6,1.49,1.57,170846.2,264601.3967,2024-10-10
1728604800000,1.57,1.629,1.095,1.197,7767759.3,9593915.813,2024-10-11
1728691200000,1.197,1.263,1.148,1.228,3543762.6,4305732.3236,2024-10-12
1728777600000,1.228,1.262,1.217,1.244,1723659.8,2139445.6269,2024-10-13
1728864000000,1.244,1.299,1.222,1.273,1413388.2,1772811.911,2024-10-14
1728950400000,1.273,1.479,1.268,1.371,3754282.5,5127831.765,2024-10-15
1729036800000,1.371,1.544,1.368,1.479,2919157.7,4306542.3319,2024-10-16
1729123200000,1.479,1.519,1.34,1.396,2115071.4,3014828.6046,2024-10-17
1729209600000,1.396,1.469,1.26,1.298,2476618.9,3319606.3789,2024-10-18
1729296000000,1.298,1.413,1.298,1.357,1261965.7,1716463.7861,2024-10-19
1729382400000,1.357,1.453,1.331,1.413,1356136.2,1886672.3408,2024-10-20
1729468800000,1.413,1.49,1.351,1.4,1598675.0,2283518.3605,2024-10-21
1729555200000,1.4,1.429,1.11,1.161,48427037.1,58800909.182,2024-10-22
1729641600000,1.161,1.216,0.855,0.942,61804871.6,61287248.6493,2024-10-23
1729728000000,0.942,0.967,0.893,0.935,24337403.6,22640102.7328,2024-10-24
1729814400000,0.935,0.939,0.777,0.807,23605164.7,20181084.7847,2024-10-25
1729900800000,0.807,0.861,0.783,0.792,13033111.3,10747799.0958,2024-10-26
1729987200000,0.792,0.836,0.79,0.801,9817474.4,7960340.3374,2024-10-27
1730073600000,0.801,0.806,0.697,0.723,16468698.7,12179582.8045,2024-10-28
1730160000000,0.723,0.798,0.698,0.764,18283577.0,13938970.4486,2024-10-29
1730246400000,0.764,0.788,0.729,0.74,10676590.1,8085641.6946,2024-10-30
1730332800000,0.74,0.74,0.666,0.673,12307183.1,8555857.0236,2024-10-31
1730419200000,0.673,0.691,0.641,0.653,11503893.3,7694310.2822,2024-11-01
1730505600000,0.653,0.684,0.631,0.642,8784927.8,5786143.1321,2024-11-02
1730592000000,0.642,0.65,0.566,0.6,11652627.3,7073710.3051,2024-11-03
1730678400000,0.6,0.612,0.533,0.557,16890792.9,9720696.2494,2024-11-04
