symbol,status,data_points,start_date,end_date,filepath
0GUSDT,insufficient_data,57,2025-09-18,2025-11-13,
1000000BABYDOGEUSDT,success,521,2024-06-11,2025-11-13,data\1000000BABYDOGEUSDT.csv
1000000CHEEMSUSDT,insufficient_data,354,2024-11-25,2025-11-13,
1000000MOGUSDT,success,547,2024-05-16,2025-11-13,data\1000000MOGUSDT.csv
10000ELONUSDT,insufficient_data,277,2025-02-10,2025-11-13,
10000QUBICUSDT,insufficient_data,325,2024-12-24,2025-11-13,
10000SATSUSDT,success,729,2023-11-16,2025-11-13,data\10000SATSUSDT.csv
1000BONKUSDT,success,1044,2023-01-06,2025-11-13,data\1000BONKUSDT.csv
1000BTTUSDT,success,1359,2022-02-25,2025-11-13,data\1000BTTUSDT.csv
1000CATUSDT,success,427,2024-09-13,2025-11-13,data\1000CATUSDT.csv
1000FLOKIUSDT,success,994,2023-02-24,2025-11-13,data\1000FLOKIUSDT.csv
1000LUNCUSDT,success,1163,2022-09-09,2025-11-13,data\1000LUNCUSDT.csv
1000NEIROCTOUSDT,success,424,2024-09-16,2025-11-13,data\1000NEIROCTOUSDT.csv
1000PEPEUSDT,success,926,2023-05-03,2025-11-13,data\1000PEPEUSDT.csv
1000RATSUSDT,success,723,2023-11-22,2025-11-13,data\1000RATSUSDT.csv
1000TAGUSDT,insufficient_data,109,2025-07-28,2025-11-13,
1000TOSHIUSDT,insufficient_data,344,2024-12-05,2025-11-13,
1000TURBOUSDT,success,624,2024-02-29,2025-11-13,data\1000TURBOUSDT.csv
1000XECUSDT,success,1312,2022-04-13,2025-11-13,data\1000XECUSDT.csv
1000XUSDT,success,385,2024-10-25,2025-11-13,data\1000XUSDT.csv
1INCHUSDT,success,1440,2021-12-06,2025-11-13,data\1INCHUSDT.csv
2ZUSDT,insufficient_data,43,2025-10-02,2025-11-13,
4USDT,insufficient_data,37,2025-10-08,2025-11-13,
A2ZUSDT,insufficient_data,106,2025-07-31,2025-11-13,
A8USDT,success,480,2024-07-22,2025-11-13,data\A8USDT.csv
AAVEUSDT,success,1647,2021-05-13,2025-11-13,data\AAVEUSDT.csv
ACEUSDT,success,697,2023-12-18,2025-11-13,data\ACEUSDT.csv
ACHUSDT,success,1317,2022-04-08,2025-11-13,data\ACHUSDT.csv
ACTUSDT,insufficient_data,368,2024-11-11,2025-11-13,
ACXUSDT,insufficient_data,343,2024-12-06,2025-11-13,
ADAUSDT,success,1703,2021-03-18,2025-11-13,data\ADAUSDT.csv
AERGOUSDT,success,729,2023-11-16,2025-11-13,data\AERGOUSDT.csv
AEROUSDT,success,487,2024-07-15,2025-11-13,data\AEROUSDT.csv
AEVOUSDT,success,611,2024-03-13,2025-11-13,data\AEVOUSDT.csv
AGIUSDT,success,728,2023-11-17,2025-11-13,data\AGIUSDT.csv
AGLDUSDT,success,1303,2022-04-22,2025-11-13,data\AGLDUSDT.csv
AIAUSDT,insufficient_data,57,2025-09-18,2025-11-13,
AINUSDT,insufficient_data,127,2025-07-10,2025-11-13,
AIOUSDT,insufficient_data,93,2025-08-13,2025-11-13,
AIOZUSDT,success,519,2024-06-13,2025-11-13,data\AIOZUSDT.csv
AIUSDT,success,667,2024-01-17,2025-11-13,data\AIUSDT.csv
AIXBTUSDT,insufficient_data,329,2024-12-20,2025-11-13,
AKEUSDT,insufficient_data,49,2025-09-26,2025-11-13,
AKTUSDT,success,506,2024-06-26,2025-11-13,data\AKTUSDT.csv
ALCHUSDT,insufficient_data,311,2025-01-07,2025-11-13,
ALEOUSDT,success,421,2024-09-19,2025-11-13,data\ALEOUSDT.csv
ALGOUSDT,success,1514,2021-09-23,2025-11-13,data\ALGOUSDT.csv
ALICEUSDT,success,1482,2021-10-25,2025-11-13,data\ALICEUSDT.csv
ALPINEUSDT,insufficient_data,92,2025-08-14,2025-11-13,
ALTUSDT,success,659,2024-01-25,2025-11-13,data\ALTUSDT.csv
ALUUSDT,insufficient_data,304,2025-01-14,2025-11-13,
ANIMEUSDT,insufficient_data,295,2025-01-23,2025-11-13,
ANKRUSDT,success,1452,2021-11-24,2025-11-13,data\ANKRUSDT.csv
APEUSDT,success,1338,2022-03-18,2025-11-13,data\APEUSDT.csv
APEXUSDT,insufficient_data,47,2025-09-28,2025-11-13,
API3USDT,success,1356,2022-02-28,2025-11-13,data\API3USDT.csv
APRUSDT,insufficient_data,22,2025-10-23,2025-11-13,
APTUSDT,success,1123,2022-10-19,2025-11-13,data\APTUSDT.csv
ARBUSDT,success,967,2023-03-23,2025-11-13,data\ARBUSDT.csv
ARCUSDT,insufficient_data,315,2025-01-03,2025-11-13,
ARIAUSDT,insufficient_data,72,2025-09-03,2025-11-13,
ARKMUSDT,success,840,2023-07-28,2025-11-13,data\ARKMUSDT.csv
ARKUSDT,success,836,2023-08-01,2025-11-13,data\ARKUSDT.csv
ARPAUSDT,success,1305,2022-04-20,2025-11-13,data\ARPAUSDT.csv
ARUSDT,success,1426,2021-12-20,2025-11-13,data\ARUSDT.csv
ASPUSDT,insufficient_data,113,2025-07-24,2025-11-13,
ASRUSDT,insufficient_data,92,2025-08-14,2025-11-13,
ASTERUSDT,insufficient_data,56,2025-09-19,2025-11-13,
ASTRUSDT,success,1321,2022-04-04,2025-11-13,data\ASTRUSDT.csv
ATHUSDT,success,519,2024-06-13,2025-11-13,data\ATHUSDT.csv
ATOMUSDT,success,1496,2021-10-11,2025-11-13,data\ATOMUSDT.csv
ATUSDT,insufficient_data,16,2025-10-29,2025-11-13,
AUCTIONUSDT,success,840,2023-07-28,2025-11-13,data\AUCTIONUSDT.csv
AUDIOUSDT,success,1450,2021-11-26,2025-11-13,data\AUDIOUSDT.csv
