symbol,momentum_7_1,momentum_percentage,current_price,price_1m_ago,price_7m_ago,data_points,rank
TRXUSDT,-0.3063312726497549,-30.633127264975492,0.06883,0.06508,0.09382,335,1
CTKUSDT,-0.6265286923800564,-62.652869238005636,0.986,0.794,2.126,241,2
NEARUSDT,-0.6331982919084638,-63.31982919084638,4.225,3.35,9.133,294,3
BNBUSDT,-0.6364551863041289,-63.64551863041289,283.45,216.6,595.8,398,4
BTCUSDT,-0.6406440845477516,-64.06440845477516,23290.5,19271.0,53626.5,624,5
IOSTUSDT,-0.6456375838926174,-64.56375838926174,0.01471,0.0132,0.03725,293,6
XRPUSDT,-0.6595052083333333,-65.95052083333333,0.3791,0.3138,0.9216,445,7
XLMUSDT,-0.6629851204172419,-66.2985120417242,0.1176,0.10985,0.32595,335,8
DOGEUSDT,-0.6678339169584793,-66.78339169584793,0.068,0.0664,0.1999,425,9
ETCUSDT,-0.6740947075208914,-67.40947075208913,36.36,14.625,44.875,398,10
