date,symbol,action,type,entry_price,capital,exit_price,pnl,reason
2022-08-01,TRXUSDT,open,long,0.06981,790.8506801635107,,,
2022-08-01,CTKUSDT,open,long,1.079,292.5179041839455,,,
2022-08-01,NEARUSDT,open,long,4.266,280.8350881767964,,,
2022-08-01,BNBUSDT,open,long,283.15,487.67079191413575,,,
2022-08-01,BTCUSDT,open,long,23250.0,522.0782640634717,,,
2022-08-01,IOSTUSDT,open,long,0.01532,454.56452032278594,,,
2022-08-01,XRPUSDT,open,long,0.3789,527.9578749384415,,,
2022-08-01,XLMUSDT,open,long,0.11825,501.03317303638124,,,
2022-08-01,DOGEUSDT,open,long,0.0685,478.6234517629111,,,
2022-08-01,ETCUSDT,open,long,34.93,163.8682514376199,,,
2022-08-01,AXSUSDT,open,short,17.785,437.921102752552,,,
2022-08-01,DYDXUSDT,open,short,2.42,363.28030901731876,,,
2022-08-01,FILUSDT,open,short,8.78,324.19222994909813,,,
2022-08-01,GALAUSDT,open,short,0.06476,521.0952794499107,,,
2022-08-01,YGGUSDT,open,short,0.83,372.5011249704295,,,
2022-08-01,ILVUSDT,open,short,115.2,445.6694609924658,,,
2022-08-01,SLPUSDT,open,short,0.00443,606.0838960919067,,,
2022-08-01,ONEUSDT,open,short,0.0235,364.8506126918047,,,
2022-08-01,TLMUSDT,open,short,0.0303,555.0166010602791,,,
2022-08-01,BICOUSDT,open,short,0.615,509.3893830242346,,,
2022-08-07,SLPUSDT,close,short,0.00443,,0.00485,-57.46167863625303,stop_loss
2022-08-08,ONEUSDT,close,short,0.0235,,0.02615,-41.14272866524606,stop_loss
2022-08-12,TLMUSDT,close,short,0.0303,,0.0338,-64.1108285053127,stop_loss
2022-08-14,CTKUSDT,close,long,1.079,,0.931,-40.12293773792763,stop_loss
2022-08-19,BTCUSDT,close,long,23250.0,,20819.0,-54.58805419089461,stop_loss
2022-08-19,IOSTUSDT,close,long,0.01532,,0.0132,-62.903184274432526,stop_loss
2022-08-19,XRPUSDT,close,long,0.3789,,0.3342,-62.28481660002202,stop_loss
2022-08-24,TRXUSDT,close,long,0.06981,,0.0647,-57.88922755530071,rebalance
